Age,Social_Security_Wage_Profile
23,20081.90034
24,23752.9385
25,26835.23758
26,29530.5748
27,32114.08652
28,34315.82059
29,36323.36172
30,38035.16131
31,39568.95168
32,41078.6739
33,42417.59709
34,43668.32023
35,44956.85033
36,46032.01403
37,47350.62561
38,48534.88047
39,49616.49893
40,50593.01386
41,51626.15105
42,52766.53225
43,53860.7753
44,54942.4793
45,55806.54887
46,56525.12616
47,57389.12722
48,58104.27316
49,58594.76481
50,58725.39923
51,58781.51992
52,58744.84037
53,58376.41428
54,57814.87229
55,56908.20457
56,55451.88792
57,54184.85079
58,52595.01168
59,50951.85833
60,48759.47443
61,46148.41285
62,44907.00574
63,43698.16108
64,42513.88381
65,42513.88381
66,42513.88381