PE_10,Samuelson_Multiplier,Samuelson_leveraged
4.502877966,2.221996114,1.952246392
4.715092066,2.180683719,1.915949311
4.937307509,2.138972418,1.87930175
5.169995644,2.096829664,1.842275115
5.413650032,2.054223026,1.804840911
5.668787497,2.011120131,1.766970696
5.935949221,1.967488734,1.728636139
6.215701889,1.923296818,1.689809109
6.508638895,1.878512684,1.650461756
6.815381596,1.833105069,1.610566614
7.136580635,1.787043254,1.570096691
7.472917318,1.740297202,1.529025597
7.825105061,1.692837711,1.487327675
8.193890901,1.644636517,1.444978093
8.580057082,1.595666455,1.401952983
8.984422714,1.545901602,1.35822957
9.407845512,1.495317426,1.313786298
9.851223611,1.443890923,1.268602959
10.31549748,1.391600761,1.222660809
10.80165189,1.338427405,1.175942683
11.31071807,1.284353235,1.128433103
11.84377578,1.22936266,1.080118368
12.40195574,1.173442201,1.030986638
12.98644191,1.116580577,0.981028
13.59847406,1.058768755,0.930234517
14.2393504,1,0.878600273
14.91043031,0.940269893,0.826121385
15.61313724,0.879576339,0.772796011
16.34896173,0.817919553,0.718624343
17.11946456,0.755302037,0.663608576
17.92628006,0.691728537,0.607752882
18.77111961,0.627205994,0.551063358
19.65577523,0.561743481,0.493547975
20.58212337,0.495352136,0.435216522
21.55212897,0.428045094,0.376080536
22.56784951,0.359837408,0.316153245
23.63143949,0.290745982,0.255449499
24.74515492,0.220789493,0.193985709
25.91135815,0.14998833,0.131779788
27.13252283,0.078364518,0.068851087
28.41123924,0.005941665,0.005220348
29.75021969,0,-0.059090356